fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality=3,quality=4,quality=5,quality=6,quality=7,quality=8
0.038,0.127,0.250,0.058,0.149,0.167,0.152,0.006,0.160,0.110,0.054,0,0,1,0,0,0
0.201,0.332,0.000,0.297,0.121,0.056,0.042,0.008,0.165,0.110,0.081,0,0,0,1,0,0
0.201,0.304,0.140,0.097,0.121,0.028,0.031,0.007,0.170,0.135,0.161,0,0,0,1,0,0
0.220,0.165,0.280,0.077,0.088,0.167,0.083,0.007,0.122,0.200,0.087,0,0,0,0,1,0
0.069,0.639,0.090,0.039,0.262,0.083,0.045,0.004,0.190,0.075,0.094,0,1,0,0,0,0
0.170,0.209,0.360,0.323,0.101,0.153,0.280,0.008,0.147,0.250,0.141,0,0,1,0,0,0
0.170,0.209,0.360,0.323,0.101,0.153,0.280,0.008,0.147,0.250,0.141,0,0,1,0,0,0
0.264,0.310,0.300,0.123,0.124,0.222,0.138,0.008,0.130,0.090,0.060,0,1,0,0,0,0
0.182,0.234,0.200,0.110,0.524,0.097,0.028,0.007,0.117,0.285,0.141,0,0,0,1,0,0
0.220,0.342,0.220,0.084,0.093,0.111,0.059,0.007,0.140,0.435,0.128,0,0,1,0,0,0
0.138,0.348,0.020,0.058,0.062,0.056,0.017,0.006,0.185,0.095,0.074,0,0,1,0,0,0
0.000,0.253,0.150,0.077,0.069,0.097,0.204,0.003,0.289,0.115,0.315,0,1,0,0,0,0
0.195,0.516,0.430,0.084,0.167,0.292,0.374,0.007,0.127,0.200,0.054,0,0,1,0,0,0
0.258,0.108,0.520,0.045,0.165,0.153,0.107,0.007,0.127,0.125,0.074,0,0,1,0,0,0
0.113,0.177,0.230,0.045,0.088,0.056,0.021,0.006,0.150,0.115,0.054,0,0,1,0,0,0
0.063,0.120,0.370,0.032,0.101,0.153,0.311,0.005,0.145,0.125,0.054,0,0,1,0,0,0
0.264,0.342,0.260,0.052,0.101,0.042,0.059,0.007,0.102,0.205,0.054,0,0,1,0,0,0
0.126,0.253,0.040,0.084,0.093,0.097,0.031,0.006,0.165,0.150,0.067,0,0,0,1,0,0
0.126,0.241,0.040,0.077,0.092,0.069,0.028,0.005,0.162,0.155,0.067,0,0,0,1,0,0
0.252,0.165,0.360,0.135,0.113,0.403,0.391,0.007,0.115,0.115,0.067,0,0,1,0,0,0
0.189,0.247,0.150,0.123,0.160,0.444,0.232,0.005,0.107,0.150,0.121,0,0,0,1,0,0
0.195,0.316,0.040,0.187,0.118,0.333,0.135,0.008,0.150,0.100,0.074,0,0,1,0,0,0
0.352,0.190,0.570,0.161,0.095,0.042,0.014,0.007,0.075,0.150,0.081,0,0,1,0,0,0
0.182,0.323,0.120,0.271,0.162,0.681,0.360,0.008,0.130,0.220,0.067,0,0,1,0,0,0
0.201,0.297,0.180,0.090,0.105,0.222,0.166,0.007,0.172,0.130,0.107,0,0,1,0,0,0
0.170,0.171,0.310,0.097,0.101,0.111,0.138,0.006,0.167,0.105,0.067,0,0,0,1,0,0
0.264,0.177,0.400,0.084,0.110,0.250,0.159,0.008,0.175,0.155,0.054,0,0,1,0,0,0
0.195,0.361,0.490,0.058,0.169,0.264,0.367,0.007,0.117,0.190,0.060,0,0,1,0,0,0
0.182,0.253,0.160,0.065,0.119,0.153,0.100,0.007,0.160,0.145,0.074,0,0,0,0,1,0
0.151,0.389,0.050,0.071,0.113,0.167,0.166,0.007,0.162,0.120,0.094,0,0,1,0,0,0
0.164,0.383,0.050,0.242,0.121,0.042,0.017,0.006,0.167,0.030,0.168,0,0,1,0,0,0
0.164,0.383,0.050,0.242,0.121,0.042,0.017,0.006,0.167,0.030,0.168,0,0,1,0,0,0
0.182,0.253,0.110,0.039,0.110,0.139,0.114,0.007,0.170,0.125,0.081,0,0,1,0,0,0
0.126,0.370,0.070,0.045,0.105,0.069,0.031,0.006,0.175,0.125,0.154,0,0,1,0,0,0
0.296,0.127,0.570,0.071,0.101,0.361,0.204,0.007,0.135,0.230,0.154,0,0,1,0,0,0
0.214,0.370,0.050,0.065,0.101,0.097,0.045,0.006,0.150,0.310,0.141,0,0,0,1,0,0
0.195,0.323,0.080,0.065,0.105,0.194,0.073,0.007,0.145,0.105,0.074,0,0,0,1,0,0
0.195,0.348,0.230,0.077,0.124,0.222,0.311,0.006,0.145,0.075,0.074,0,0,1,0,0,0
0.195,0.361,0.220,0.065,0.118,0.236,0.304,0.006,0.142,0.075,0.074,0,0,1,0,0,0
0.233,0.351,0.260,0.077,0.118,0.139,0.128,0.008,0.142,0.100,0.054,0,1,0,0,0,0
0.321,0.127,0.540,0.103,0.134,0.375,0.266,0.008,0.135,0.245,0.081,0,0,1,0,0,0
0.264,0.184,0.640,0.084,0.133,0.111,0.125,0.008,0.200,0.165,0.141,0,0,1,0,0,0
0.264,0.184,0.640,0.084,0.133,0.111,0.125,0.008,0.200,0.165,0.141,0,0,1,0,0,0
0.138,0.421,0.000,0.097,0.151,0.181,0.083,0.007,0.195,0.110,0.154,0,0,0,1,0,0
0.132,0.399,0.120,0.071,0.121,0.153,0.256,0.006,0.160,0.095,0.114,0,0,1,0,0,0
0.233,0.320,0.200,0.039,0.111,0.361,0.391,0.007,0.105,0.395,0.047,0,1,0,0,0,0
0.101,0.209,0.200,0.045,0.093,0.028,0.031,0.006,0.167,0.115,0.054,0,0,1,0,0,0
0.201,0.196,0.700,0.065,0.740,0.292,0.211,0.007,0.097,0.475,0.067,0,0,1,0,0,0
0.176,0.241,0.470,0.071,0.121,0.278,0.232,0.007,0.155,0.120,0.047,0,0,1,0,0,0
0.170,0.348,0.260,0.058,0.637,0.208,0.156,0.007,0.105,0.405,0.067,0,0,1,0,0,0
0.107,0.114,0.480,0.058,0.093,0.236,0.190,0.006,0.175,0.225,0.128,0,0,0,1,0,0
0.145,0.272,0.150,0.084,0.105,0.250,0.118,0.006,0.167,0.130,0.114,0,0,1,0,0,0
0.252,0.234,0.280,0.065,0.160,0.264,0.450,0.007,0.047,0.810,0.101,0,0,0,1,0,0
0.195,0.234,0.260,0.065,0.082,0.111,0.087,0.007,0.162,0.155,0.081,0,0,1,0,0,0
0.296,0.171,0.440,0.077,0.155,0.458,0.412,0.008,0.100,0.445,0.074,0,0,1,0,0,0
0.151,0.316,0.080,0.058,0.105,0.097,0.062,0.008,0.185,0.100,0.040,0,0,1,0,0,0
0.208,0.253,0.260,0.065,0.110,0.569,0.464,0.006,0.122,0.105,0.074,0,0,1,0,0,0
0.252,0.234,0.280,0.065,0.160,0.264,0.450,0.007,0.047,0.810,0.101,0,0,0,1,0,0
0.252,0.234,0.290,0.071,0.160,0.250,0.439,0.007,0.047,0.825,0.094,0,0,1,0,0,0
0.195,0.234,0.260,0.065,0.082,0.111,0.087,0.007,0.162,0.155,0.081,0,0,1,0,0,0
0.025,0.570,0.040,0.032,0.054,0.556,0.273,0.004,0.252,0.075,0.141,0,1,0,0,0,0
0.006,0.304,0.170,0.090,0.075,0.222,0.346,0.003,0.277,0.135,0.302,0,0,0,1,0,0
0.138,0.415,0.000,0.135,0.147,0.097,0.059,0.006,0.177,0.115,0.154,0,0,1,0,0,0
0.151,0.241,0.250,0.071,0.095,0.028,0.055,0.006,0.127,0.150,0.054,0,0,1,0,0,0
0.189,0.494,0.060,0.103,0.110,0.056,0.014,0.007,0.162,0.115,0.094,0,0,1,0,0,0
0.220,0.269,0.180,0.065,0.111,0.167,0.100,0.007,0.140,0.130,0.040,0,0,0,1,0,0
0.233,0.310,0.300,0.077,0.118,0.139,0.152,0.007,0.165,0.140,0.121,0,0,0,1,0,0
0.201,0.241,0.300,0.065,0.103,0.097,0.055,0.006,0.142,0.115,0.134,0,0,0,1,0,0
0.220,0.269,0.180,0.065,0.111,0.167,0.100,0.007,0.140,0.130,0.040,0,0,0,1,0,0
0.220,0.288,0.220,0.077,0.106,0.153,0.204,0.007,0.137,0.090,0.054,0,0,1,0,0,0
0.164,0.234,0.240,0.084,0.095,0.056,0.104,0.006,0.147,0.075,0.067,0,0,1,0,0,0
0.220,0.288,0.220,0.077,0.106,0.153,0.204,0.007,0.137,0.090,0.054,0,0,1,0,0,0
0.201,0.184,0.680,0.052,0.745,0.236,0.218,0.007,0.085,0.490,0.060,0,0,1,0,0,0
0.101,0.323,0.310,0.052,0.124,0.194,0.201,0.007,0.180,0.230,0.060,0,0,1,0,0,0
0.214,0.133,0.530,0.103,0.129,0.236,0.256,0.008,0.157,0.235,0.081,0,0,0,1,0,0
0.220,0.421,0.520,0.071,0.180,0.500,0.509,0.007,0.117,0.180,0.060,0,0,1,0,0,0
0.201,0.278,0.190,0.058,0.151,0.153,0.142,0.006,0.112,0.300,0.074,0,0,1,0,0,0
0.239,0.316,0.090,0.084,0.118,0.139,0.353,0.006,0.102,0.165,0.094,0,0,1,0,0,0
0.239,0.304,0.100,0.084,0.119,0.181,0.363,0.006,0.102,0.165,0.094,0,0,1,0,0,0
0.346,0.120,0.440,0.090,0.111,0.292,0.138,0.009,0.145,0.170,0.087,0,0,0,1,0,0
0.201,0.278,0.190,0.058,0.151,0.153,0.142,0.006,0.112,0.300,0.074,0,0,1,0,0,0
0.302,0.177,0.310,0.084,0.128,0.167,0.194,0.007,0.082,0.150,0.141,0,0,0,1,0,0
0.233,0.266,0.280,0.065,0.106,0.139,0.118,0.008,0.162,0.140,0.107,0,0,0,1,0,0
0.201,0.278,0.120,0.071,0.115,0.083,0.076,0.007,0.157,0.085,0.067,0,0,0,1,0,0
0.264,0.272,0.040,0.084,0.175,0.181,0.173,0.006,0.117,0.135,0.168,0,0,0,1,0,0
0.151,0.361,0.080,0.058,0.139,0.292,0.287,0.006,0.150,0.105,0.054,0,0,0,1,0,0
0.170,0.601,0.090,0.052,0.272,0.125,0.287,0.006,0.140,0.120,0.040,0,0,1,0,0,0
0.264,0.272,0.040,0.084,0.175,0.181,0.173,0.006,0.117,0.135,0.168,0,0,0,1,0,0
0.170,0.364,0.000,0.103,0.103,0.028,0.024,0.008,0.187,0.095,0.054,0,0,1,0,0,0
0.214,0.373,0.000,0.110,0.111,0.139,0.097,0.008,0.175,0.100,0.074,0,0,1,0,0,0
0.201,0.241,0.170,0.045,0.115,0.278,0.332,0.006,0.162,0.075,0.074,0,0,1,0,0,0
0.277,0.316,0.040,0.065,0.219,0.361,0.291,0.008,0.105,0.185,0.067,0,0,1,0,0,0
0.226,0.766,0.000,0.052,0.113,0.028,0.021,0.006,0.197,0.080,0.168,0,0,1,0,0,0
0.220,0.766,0.000,0.058,0.115,0.028,0.021,0.006,0.200,0.075,0.168,0,0,1,0,0,0
0.214,0.297,0.160,0.058,0.087,0.028,0.035,0.006,0.170,0.295,0.141,0,0,0,0,1,0
0.094,0.165,0.150,0.058,0.098,0.069,0.045,0.005,0.170,0.120,0.067,0,0,1,0,0,0
0.214,0.396,0.560,0.071,0.173,0.403,0.443,0.007,0.125,0.165,0.067,0,0,1,0,0,0
0.063,0.241,0.090,0.090,0.061,0.222,0.322,0.004,0.222,0.150,0.309,0,0,1,0,0,0
0.063,0.241,0.090,0.090,0.061,0.222,0.322,0.004,0.222,0.150,0.309,0,0,1,0,0,0
0.126,0.241,0.010,0.039,0.079,0.222,0.069,0.005,0.165,0.125,0.094,0,0,0,1,0,0
0.208,0.582,0.050,0.084,0.118,0.167,0.080,0.006,0.120,0.110,0.101,0,0,0,1,0,0
0.239,0.396,0.110,0.065,0.128,0.208,0.197,0.006,0.112,0.245,0.081,0,0,1,0,0,0
0.233,0.377,0.150,0.058,0.126,0.125,0.159,0.007,0.122,0.220,0.074,0,0,1,0,0,0
0.164,0.187,0.360,0.071,0.113,0.167,0.135,0.007,0.185,0.155,0.054,0,0,1,0,0,0
0.201,0.278,0.190,0.077,0.113,0.194,0.343,0.006,0.147,0.105,0.074,0,0,1,0,0,0
0.201,0.278,0.190,0.071,0.113,0.222,0.353,0.006,0.145,0.105,0.074,0,0,1,0,0,0
0.239,0.396,0.110,0.065,0.128,0.208,0.197,0.006,0.112,0.245,0.081,0,0,1,0,0,0
0.233,0.377,0.150,0.058,0.126,0.125,0.159,0.007,0.122,0.220,0.074,0,0,1,0,0,0
0.038,0.139,0.000,0.058,0.062,0.361,0.197,0.002,0.234,0.230,0.376,0,0,0,1,0,0
0.107,0.171,0.080,0.052,0.088,0.028,0.048,0.005,0.150,0.125,0.067,0,0,1,0,0,0
0.038,0.139,0.000,0.058,0.062,0.361,0.197,0.002,0.234,0.230,0.376,0,0,0,1,0,0
0.220,0.348,0.550,0.058,0.172,0.431,0.467,0.007,0.107,0.145,0.067,0,0,1,0,0,0
0.075,0.354,0.020,0.058,0.123,0.278,0.304,0.004,0.200,0.095,0.107,0,0,1,0,0,0
0.189,0.234,0.260,0.045,0.367,0.125,0.284,0.007,0.092,0.235,0.060,0,0,1,0,0,0
0.145,0.234,0.100,0.090,0.101,0.153,0.083,0.006,0.170,0.125,0.121,0,0,0,1,0,0
0.226,0.177,0.440,0.123,0.126,0.139,0.128,0.007,0.197,0.140,0.141,0,0,0,1,0,0
0.170,0.133,0.470,0.077,0.106,0.056,0.017,0.006,0.147,0.100,0.128,0,0,0,1,0,0
0.289,0.253,1.000,0.161,0.979,0.431,0.218,0.009,0.000,0.835,0.067,0,1,0,0,0,0
0.182,0.304,0.030,0.058,0.136,0.333,0.322,0.005,0.152,0.105,0.114,0,0,1,0,0,0
0.182,0.304,0.030,0.058,0.136,0.333,0.322,0.005,0.152,0.105,0.114,0,0,1,0,0,0
0.157,0.196,0.420,0.297,0.095,0.389,0.426,0.007,0.170,0.195,0.141,0,0,1,0,0,0
0.157,0.196,0.420,0.297,0.097,0.375,0.422,0.007,0.170,0.190,0.141,0,0,1,0,0,0
0.157,0.196,0.420,0.297,0.095,0.389,0.426,0.007,0.170,0.195,0.141,0,0,1,0,0,0
0.157,0.196,0.420,0.297,0.097,0.375,0.422,0.007,0.170,0.190,0.141,0,0,1,0,0,0
0.157,0.354,0.000,0.084,0.100,0.153,0.055,0.007,0.185,0.085,0.060,0,0,1,0,0,0
0.138,0.304,0.180,0.065,0.110,0.236,0.277,0.007,0.212,0.120,0.060,0,0,0,1,0,0
0.189,0.525,0.030,0.071,0.128,0.083,0.048,0.006,0.115,0.115,0.081,0,0,1,0,0,0
0.189,0.354,0.020,0.026,0.098,0.111,0.048,0.006,0.107,0.375,0.054,0,1,0,0,0,0
0.201,0.259,0.040,0.052,0.105,0.222,0.087,0.006,0.147,0.115,0.107,0,0,0,1,0,0
0.176,0.304,0.260,0.413,0.095,0.486,0.398,0.008,0.157,0.080,0.067,0,0,1,0,0,0
0.170,0.297,0.260,0.406,0.095,0.472,0.398,0.008,0.157,0.080,0.067,0,0,1,0,0,0
0.201,0.323,0.480,0.052,0.144,0.181,0.311,0.006,0.112,0.145,0.074,0,0,1,0,0,0
0.138,0.329,0.100,0.077,0.119,0.236,0.329,0.006,0.150,0.095,0.121,0,0,1,0,0,0
0.170,0.272,0.030,0.045,0.098,0.222,0.125,0.006,0.157,0.075,0.040,0,1,0,0,0,0
0.138,0.323,0.070,0.077,0.126,0.139,0.131,0.005,0.182,0.110,0.134,0,0,0,1,0,0
0.182,0.370,0.240,0.058,0.570,0.194,0.197,0.006,0.065,0.630,0.074,0,0,1,0,0,0
0.208,0.484,0.030,0.058,0.075,0.042,0.007,0.007,0.155,0.000,0.047,0,1,0,0,0,0
0.214,0.190,0.170,0.071,0.100,0.069,0.042,0.007,0.137,0.140,0.054,0,0,0,1,0,0
0.214,0.190,0.170,0.071,0.100,0.069,0.042,0.007,0.137,0.140,0.054,0,0,0,1,0,0
0.176,0.316,0.050,0.065,0.092,0.319,0.125,0.006,0.170,0.120,0.208,0,0,0,1,0,0
0.170,0.165,0.210,0.071,0.111,0.083,0.100,0.006,0.147,0.070,0.074,0,0,1,0,0,0
0.145,0.241,0.040,0.039,0.119,0.250,0.149,0.006,0.152,0.225,0.074,0,0,1,0,0,0
0.170,0.165,0.210,0.071,0.111,0.083,0.100,0.006,0.147,0.070,0.074,0,0,1,0,0,0
0.182,0.253,0.420,0.090,0.123,0.097,0.111,0.007,0.209,0.140,0.141,0,0,0,1,0,0
0.151,0.434,0.000,0.103,0.092,0.083,0.048,0.007,0.185,0.115,0.081,0,0,1,0,0,0
0.264,0.310,0.140,0.097,0.090,0.125,0.125,0.007,0.112,0.130,0.074,0,0,1,0,0,0
0.264,0.310,0.140,0.097,0.090,0.125,0.125,0.007,0.112,0.130,0.074,0,0,1,0,0,0
0.270,0.310,0.490,0.071,0.422,0.306,0.360,0.007,0.095,0.345,0.060,0,0,1,0,0,0
0.164,0.386,0.020,0.103,0.105,0.208,0.125,0.007,0.175,0.095,0.060,0,0,1,0,0,0
0.138,0.310,0.200,0.058,0.106,0.139,0.204,0.007,0.200,0.125,0.060,0,0,1,0,0,0
0.132,0.316,0.210,0.065,0.110,0.097,0.194,0.007,0.195,0.125,0.060,0,0,0,1,0,0
0.270,0.120,0.570,0.071,0.162,0.347,0.273,0.007,0.130,0.100,0.087,0,0,1,0,0,0
0.176,0.171,0.480,0.071,0.115,0.181,0.211,0.007,0.150,0.110,0.054,0,0,1,0,0,0
0.195,0.370,0.100,0.110,0.118,0.111,0.069,0.008,0.162,0.080,0.087,0,0,1,0,0,0
0.208,0.241,0.330,0.071,0.118,0.194,0.474,0.007,0.115,0.110,0.074,0,0,1,0,0,0
0.208,0.234,0.320,0.065,0.115,0.222,0.478,0.007,0.115,0.110,0.074,0,0,1,0,0,0
0.226,0.241,0.350,0.129,0.106,0.278,0.419,0.008,0.122,0.145,0.067,0,0,1,0,0,0
0.113,0.158,0.250,0.065,0.101,0.278,0.149,0.007,0.207,0.145,0.094,0,0,0,1,0,0
0.138,0.323,0.120,0.187,0.142,0.208,0.415,0.007,0.135,0.140,0.074,0,0,1,0,0,0
0.189,0.272,0.210,0.084,0.097,0.083,0.076,0.006,0.135,0.110,0.087,0,0,1,0,0,0
0.189,0.272,0.210,0.084,0.097,0.083,0.076,0.006,0.135,0.110,0.087,0,0,1,0,0,0
0.201,0.297,0.330,0.071,0.101,0.319,0.394,0.007,0.127,0.105,0.067,0,0,1,0,0,0
0.170,0.291,0.300,0.097,0.101,0.194,0.170,0.007,0.180,0.130,0.121,0,0,1,0,0,0
0.434,0.114,0.600,0.071,0.090,0.153,0.073,0.008,0.092,0.320,0.114,0,0,0,1,0,0
0.050,0.453,0.080,0.019,0.056,0.167,0.301,0.002,0.207,0.260,0.309,0,0,0,0,1,0
0.145,0.614,0.060,0.077,0.080,0.153,0.087,0.005,0.192,0.050,0.201,0,1,0,0,0,0
0.314,0.127,0.470,0.032,0.072,0.111,0.062,0.007,0.120,0.245,0.128,0,0,0,0,1,0
0.264,0.158,0.480,0.077,0.139,0.528,0.481,0.007,0.075,0.350,0.060,0,0,1,0,0,0
0.138,0.241,0.110,0.039,0.103,0.208,0.149,0.005,0.155,0.230,0.074,0,0,1,0,0,0
0.151,0.190,0.350,0.045,0.124,0.208,0.114,0.006,0.150,0.110,0.054,0,0,1,0,0,0
0.151,0.196,0.360,0.045,0.126,0.181,0.107,0.006,0.150,0.115,0.054,0,0,0,1,0,0
0.516,0.114,0.740,0.110,0.136,0.111,0.076,0.009,0.115,0.220,0.161,0,0,0,0,1,0
0.516,0.114,0.740,0.110,0.136,0.111,0.076,0.009,0.115,0.220,0.161,0,0,0,0,1,0
0.201,0.285,0.310,0.058,0.093,0.347,0.394,0.006,0.137,0.100,0.060,0,0,1,0,0,0
0.201,0.203,0.280,0.116,0.144,0.236,0.308,0.007,0.120,0.170,0.067,0,0,1,0,0,0
0.403,0.114,0.580,0.077,0.069,0.083,0.045,0.008,0.142,0.275,0.141,0,0,0,0,1,0
0.321,0.259,0.600,0.071,0.044,0.056,0.045,0.006,0.140,0.265,0.268,0,0,0,1,0,0
0.214,0.383,0.240,0.123,0.116,0.125,0.194,0.007,0.152,0.115,0.107,0,0,0,1,0,0
0.440,0.203,0.640,0.077,0.077,0.056,0.031,0.008,0.117,0.170,0.121,0,0,0,1,0,0
0.226,0.285,0.260,0.084,0.079,0.375,0.204,0.006,0.140,0.050,0.114,0,0,1,0,0,0
0.201,0.389,0.080,0.097,0.131,0.125,0.121,0.007,0.125,0.190,0.094,0,0,0,1,0,0
0.151,0.234,0.490,0.303,0.079,0.347,0.398,0.007,0.150,0.215,0.141,0,0,1,0,0,0
0.258,0.320,0.160,0.071,0.146,0.167,0.149,0.006,0.100,0.120,0.174,0,0,1,0,0,0
0.220,0.383,0.220,0.084,0.098,0.139,0.121,0.007,0.155,0.110,0.047,0,0,1,0,0,0
0.182,0.234,0.190,0.065,0.105,0.125,0.131,0.006,0.162,0.105,0.087,0,0,1,0,0,0
0.201,0.259,0.330,0.097,0.111,0.319,0.478,0.006,0.140,0.135,0.074,0,0,1,0,0,0
0.201,0.139,0.370,0.071,0.115,0.319,0.180,0.006,0.150,0.130,0.067,0,0,0,1,0,0
0.176,0.259,0.260,0.071,0.146,0.208,0.228,0.006,0.102,0.120,0.067,0,0,1,0,0,0
0.138,0.310,0.040,0.039,0.074,0.056,0.014,0.005,0.170,0.135,0.074,0,0,1,0,0,0
0.252,0.332,0.250,0.071,0.116,0.097,0.076,0.008,0.135,0.135,0.107,0,0,0,1,0,0
0.239,0.326,0.360,0.071,0.126,0.194,0.170,0.007,0.142,0.120,0.134,0,1,0,0,0,0
0.195,0.196,0.250,0.110,0.100,0.389,0.197,0.006,0.157,0.125,0.141,0,0,0,1,0,0
0.270,0.297,0.500,0.071,0.532,0.361,0.260,0.006,0.075,0.640,0.074,0,0,0,1,0,0
0.277,0.443,0.140,0.110,0.126,0.111,0.059,0.008,0.162,0.150,0.094,0,0,1,0,0,0
0.195,0.196,0.250,0.110,0.100,0.389,0.197,0.006,0.157,0.125,0.141,0,0,0,1,0,0
0.145,0.253,0.250,0.110,0.113,0.125,0.107,0.007,0.180,0.085,0.174,0,0,1,0,0,0
0.038,0.228,0.040,0.045,0.069,0.250,0.346,0.003,0.200,0.145,0.255,0,0,0,0,1,0
0.214,0.165,0.060,0.058,0.108,0.153,0.149,0.006,0.157,0.095,0.101,0,0,0,1,0,0
0.245,0.158,0.200,0.123,0.128,0.236,0.180,0.008,0.150,0.185,0.081,0,0,0,1,0,0
0.145,0.253,0.250,0.110,0.113,0.125,0.107,0.007,0.180,0.085,0.174,0,0,1,0,0,0
0.226,0.557,0.090,0.090,0.087,0.083,0.107,0.007,0.145,0.110,0.040,0,0,0,1,0,0
0.164,0.323,0.000,0.065,0.139,0.181,0.111,0.007,0.157,0.125,0.040,0,0,0,1,0,0
0.164,0.323,0.000,0.065,0.139,0.181,0.111,0.007,0.157,0.125,0.040,0,0,0,1,0,0
0.164,0.332,0.000,0.065,0.139,0.194,0.114,0.007,0.157,0.125,0.054,0,0,0,1,0,0
0.164,0.323,0.000,0.065,0.139,0.181,0.111,0.007,0.157,0.125,0.040,0,0,0,1,0,0
0.226,0.557,0.090,0.090,0.087,0.083,0.107,0.007,0.145,0.110,0.040,0,0,0,1,0,0
0.270,0.326,0.370,0.052,0.411,0.056,0.194,0.007,0.065,0.380,0.060,0,0,1,0,0,0
0.465,0.165,0.560,0.077,0.133,0.069,0.062,0.009,0.100,0.190,0.168,0,0,0,1,0,0
0.195,0.291,0.100,0.058,0.147,0.375,0.356,0.006,0.085,0.080,0.094,0,0,0,1,0,0
0.654,0.057,0.440,0.084,0.103,0.125,0.062,0.010,0.082,0.255,0.054,0,0,0,0,1,0
0.654,0.057,0.440,0.084,0.103,0.125,0.062,0.010,0.082,0.255,0.054,0,0,0,0,1,0
0.170,0.342,0.000,0.071,0.118,0.069,0.059,0.008,0.217,0.315,0.101,0,0,0,1,0,0
